ra	 rp	 va	 vomega
10.0	 10.0	 6313477.647066	 146.910983
20.0	 10.0	 3645088.019056	 127.228643
30.0	 10.0	 2577466.456296	 119.952315
40.0	 10.0	 1996496.932129	 116.143330
50.0	 10.0	 1630132.918916	 113.796758
60.0	 10.0	 1377713.772195	 112.205117
70.0	 10.0	 1193135.125864	 111.054265
80.0	 10.0	 1052246.274511	 110.183237
90.0	 10.0	 941157.679551	 109.500982
100.0	 10.0	 851309.152263	 108.952101
110.0	 10.0	 777135.376842	 108.500952
120.0	 10.0	 714860.574536	 108.123556
130.0	 10.0	 661832.288440	 107.803189
140.0	 10.0	 616132.329633	 107.527829
150.0	 10.0	 576339.020600	 107.288613
160.0	 10.0	 541376.241900	 107.078859
170.0	 10.0	 510414.415761	 106.893441
180.0	 10.0	 482803.702559	 106.728355
190.0	 10.0	 458027.808855	 106.580429
200.0	 10.0	 435671.348392	 106.447120
210.0	 10.0	 415396.331898	 106.326363
220.0	 10.0	 396924.938892	 106.216465
230.0	 10.0	 380026.696240	 106.116024
240.0	 10.0	 364508.801906	 106.023870
250.0	 10.0	 350208.728969	 105.939017
260.0	 10.0	 336988.506571	 105.860630
270.0	 10.0	 324730.250284	 105.787999
280.0	 10.0	 313332.634594	 105.720510
290.0	 10.0	 302708.083652	 105.657637
300.0	 10.0	 292780.515246	 105.598922
310.0	 10.0	 283483.514910	 105.543966
320.0	 10.0	 274758.847432	 105.492418
330.0	 10.0	 266555.235185	 105.443972
340.0	 10.0	 258827.349093	 105.398355
350.0	 10.0	 251534.970272	 105.355326
360.0	 10.0	 244642.289578	 105.314672
370.0	 10.0	 238117.319304	 105.276201
380.0	 10.0	 231931.396623	 105.239741
390.0	 10.0	 226058.762499	 105.205140
400.0	 10.0	 220476.203019	 105.172258
410.0	 10.0	 215162.742609	 105.140971
420.0	 10.0	 210099.380587	 105.111165
430.0	 10.0	 205268.864063	 105.082737
440.0	 10.0	 200655.491484	 105.055595
450.0	 10.0	 196244.942087	 105.029652
460.0	 10.0	 192024.127377	 105.004831
470.0	 10.0	 187981.061367	 104.981061
480.0	 10.0	 184104.746878	 104.958276
490.0	 10.0	 180385.075630	 104.936417
500.0	 10.0	 176812.740203	 104.915427
510.0	 10.0	 173379.156259	 104.895257
520.0	 10.0	 170076.393661	 104.875859
530.0	 10.0	 166897.115313	 104.857189
540.0	 10.0	 163834.522741	 104.839208
550.0	 10.0	 160882.307552	 104.821878
560.0	 10.0	 158034.608056	 104.805164
570.0	 10.0	 155285.970414	 104.789034
580.0	 10.0	 152631.313769	 104.773458
590.0	 10.0	 150065.898895	 104.758407
600.0	 10.0	 147585.299963	 104.743856
610.0	 10.0	 145185.379046	 104.729781
620.0	 10.0	 142862.263093	 104.716157
630.0	 10.0	 140612.323062	 104.702965
640.0	 10.0	 138432.155002	 104.690183
650.0	 10.0	 136318.562869	 104.677793
660.0	 10.0	 134268.542891	 104.665777
670.0	 10.0	 132279.269321	 104.654118
680.0	 10.0	 130348.081443	 104.642801
690.0	 10.0	 128472.471695	 104.631811
700.0	 10.0	 126650.074807	 104.621134
710.0	 10.0	 124878.657849	 104.610756
720.0	 10.0	 123156.111102	 104.600666
730.0	 10.0	 121480.439673	 104.590851
740.0	 10.0	 119849.755794	 104.581301
750.0	 10.0	 118262.271720	 104.572004
760.0	 10.0	 116716.293192	 104.562952
770.0	 10.0	 115210.213407	 104.554133
780.0	 10.0	 113742.507448	 104.545540
790.0	 10.0	 112311.727129	 104.537164
800.0	 10.0	 110916.496229	 104.528997
810.0	 10.0	 109555.506082	 104.521031
820.0	 10.0	 108227.511476	 104.513258
830.0	 10.0	 106931.326856	 104.505672
840.0	 10.0	 105665.822793	 104.498267
850.0	 10.0	 104429.922700	 104.491035
860.0	 10.0	 103222.599781	 104.483971
870.0	 10.0	 102042.874182	 104.477068
